"ITERATION","YEN","YEN_VAL","YEN_PRICE","USD","USD_VAL","USD_PRICE","YUAN","YUAN_VAL","YUAN_PRICE","EUR","EUR_VAL","MEAN","MEAN_THRESHOLD",
"99","657995,4","1,1497204","5267,6304","919430,6","1,0283958","912893,44","722980,44","1,1141863","109449,164","1150253,6","1","544466","272233",
"100","657995,4","1,1497204","5267,6304","919430,6","1,0283958","912893,44","722980,44","1,1141863","109449,164","1150253,6","1","544466","272233",
"101","657995,4","1,5197662","6963,0547","919430,6","1,0876291","965474,1","722980,44","1,383163","135871,38","1150253,6","1","564640,5","282320,25",
"102","657995,4","1,5197662","6963,0547","919430,6","1,0876291","965474,1","722980,44","1,383163","135871,38","1150253,6","1","564640,5","282320,25",
"103","657995,4","1,5197662","6963,0547","919430,6","1,0876291","965474,1","722980,44","1,383163","135871,38","1150253,6","1","564640,5","282320,25",
"104","657995,4","1,1497204","5267,6304","847223,8","1,0283958","841200","722980,44","1,1141863","109449,164","1231734,3","1","546912,75","273456,38",
"105","657995,4","1,1497204","5267,6304","847223,8","1,0568188","864449,3","722980,44","1,1141862","109449,15","1231734,3","1","552725,06","276362,53",
"106","657995,4","1,1497204","5267,6304","847223,8","1,0568188","864449,3","722980,44","1,1141862","109449,15","1234617,3","1","553445,8","276722,9",
"107","657995,4","1,1497204","5267,6304","847223,8","1,0568188","864449,3","722980,44","1,1141862","109449,15","1234617,3","1","553445,8","276722,9",
"108","657995,4","1,519766","6963,0537","847223,8","1,180325","965474,1","722980,44","1,3831627","135871,36","1234617,3","1","585731,44","292865,72",
"109","657995,4","1,1497204","5267,6304","893401,56","1,0568188","911566","722980,44","1,1141862","109449,15","1183569,5","1","552463,06","276231,53",
"110","657995,4","1,1497204","5267,6304","893401,56","1,0382876","895581,75","722980,44","1,1141862","109449,15","1183569,5","1","548467","274233,5",
"111","657995,4","1,1497204","5267,6304","893401,56","1,0382876","895581,75","722980,44","1,1141862","109449,15","1185163,1","1","548865,4","274432,7",
"112","657995,4","1,1497204","5267,6304","893401,56","1,0382876","895581,75","722980,44","1,1141862","109449,15","1185163,1","1","548865,4","274432,7",
"113","657995,4","1,519766","6963,0537","893401,56","1,1193169","965474,1","722980,44","1,3831627","135871,36","1185163,1","1","573367,9","286683,94",
"114","569065,6","1,1497204","4555,6963","893401,56","1,0382876","895581,75","722980,44","1,1141862","109449,15","1186183,3","1","548942,44","274471,22",
"115","569065,6","1,2067364","4781,619","893401,56","1,0382876","895581,75","722980,44","1,1141862","109449,15","1186183,3","1","548998,94","274499,47",
"116","569065,6","1,2067364","4781,619","893401,56","1,0382876","895581,75","722980,44","1,1141862","109449,15","1186881,8","1","549173,56","274586,78",
"117","569065,6","1,2067364","4781,619","893401,56","1,0382876","895581,75","722980,44","1,1141862","109449,15","1186881,8","1","549173,56","274586,78",
"118","569065,6","1,2067364","4781,619","893401,56","1,0382876","895581,75","655593","1,1141862","99247,63","1197658,1","1","549317,25","274658,63",
"119","569065,6","1,2067364","4781,619","893401,56","1,0382876","895581,75","655593","1,1511233","102537,86","1197658,1","1","550139,9","275069,94",
"120","569065,6","1,7572649","6963,0537","893401,56","1,1193169","965474,1","655593","1,5253358","135871,33","1197658,1","1","576491,6","288245,8",
"121","569065,6","1,2067364","4781,619","893401,56","1,0382876","895581,75","656498","1,1511233","102679,4","1197480,8","1","550130,9","275065,44",
"122","569065,6","1,2067364","4781,619","893401,56","1,0382876","895581,75","656498","1,1505941","102632,2","1197480,8","1","550119,06","275059,53",
"123","569065,6","1,2067364","4781,619","893401,56","1,0382876","895581,75","656498","1,1505941","102632,2","1197622,1","1","550154,44","275077,22",
"124","569065,6","1,2067364","4781,619","893401,56","1,0382876","895581,75","656498","1,1505941","102632,2","1197622,1","1","550154,44","275077,22",
"125","569065,6","1,7572649","6963,0537","893401,56","1,1193168","965474","656498","1,5232332","135871,36","1197622,1","1","576482,6","288241,3",
"126","569065,6","1,7572649","6963,0537","893401,56","1,1193168","965474","656498","1,5232332","135871,36","1197622,1","1","576482,6","288241,3",
"127","569065,6","1,7572649","6963,0537","893401,56","1,1193168","965474","656498","1,5232332","135871,36","1197622,1","1","576482,6","288241,3",
"128","569065,6","1,7572649","6963,0537","893401,56","1,1193168","965474","656498","1,5232332","135871,36","1197622,1","1","576482,6","288241,3",
"129","569065,6","1,7572649","6963,0537","893401,56","1,1193168","965474","656498","1,5232332","135871,36","1197622,1","1","576482,6","288241,3",
"130","569065,6","1,7572649","6963,0537","893401,56","1,1193168","965474","656498","1,5232332","135871,36","1197622,1","1","576482,6","288241,3",
"131","551509,8","1,2067364","4634,105","893401,56","1,0382876","895581,75","656498","1,1505941","102632,2","1197859,3","1","550176,8","275088,4",
"132","551509,8","1,2194072","4682,763","893401,56","1,0382876","895581,75","656498","1,150594","102632,195","1197859,3","1","550189","275094,5",
"133","551509,8","1,2194072","4682,763","893401,56","1,0382876","895581,75","678193,44","1,150594","106023,9","1194540,3","1","550207,1","275103,56",
"134","551509,8","1,2194072","4682,763","893401,56","1,0382876","895581,75","678193,44","1,1381916","104881,055","1194540,3","1","549921,44","274960,72",
"135","507824,28","1,2194072","4311,8374","893401,56","1,0382876","895581,75","678193,44","1,1381916","104881,055","1194923,4","1","549924,5","274962,25",
"136","507824,28","1,2534164","4432,0947","893401,56","1,0382876","895581,75","678193,44","1,1381916","104881,055","1194923,4","1","549954,56","274977,28",
"137","446508,38","1,2534164","3896,9531","893401,56","1,0382876","895581,75","678193,44","1,1381916","104881,055","1195468,4","1","549957","274978,5",
"138","446508,38","1,3083482","4067,7395","893401,56","1,0382876","895581,75","678193,44","1,1381916","104881,055","1195468,4","1","549999,75","274999,88",
